Site,Habitat,Season,Chgouldii,Chmorio,CG/Mormlp,MormII,Mschocean,Nyctspp,Mmacropus,Nspp/Mmacr,Scotspp.,Taustralis,Vdarlingtoni,Vregulus,Vvulturnus,Unidentified,BatSpecies,BatActivity,Col,Dip,Eph,Hem,Lep,Hym,Tri,Manto,Psoc,Orth,Neur,Derm,Bla,Iso,Odo,Plec,Insectabundance,TotalOrder,Moon,NatEx,Bioregion,Size,SQQ,Water Depth,Imp 5km,Imp2km,Imp1km,Imp500m,NDVI2km,NDVI1km,NDVI500m,Trees 5km,Trees2km,Trees1km,Trees500m,House500,House1km,House2km,House5km,Light500m,Light1km,Light2km,Light5km,Road500m,Road1km,Road2km,Road5km,Distriver,Distwetland,Distwater,Distbushland,Aqvegcov,EphemVeg,TreeCoverage,TreesLarge>20dbh.plot,TreesSmall<20dbh.plot,Trees total.plot,Shrubs.plot,Hollows.total,Otherroostsnumber.total,TotalRoost,Distance1sttree,Temp,Humidity
Herritage,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,20,17,0,9,0,1,0,0,0,0,0,0,0,0,0,47,4,2,NA,1,15348.09473,0.490627411,3.5,451.7085809,449.02923,432.1609309,442.173587,0.30076523,0.271219735,0.272826926,117289,13341,3568,610,704471.9162,2737630.987,11037555.09,229918835.8,NA,62.0291634,61.7301865,60.4416313,139.8603811,114.4230209,115.197287,114.5129924,18884.93779,126.12,126.12,4000.47,0.43,0.15,0.05,2,0,2,0,0,0,0,2,14.22387736,85.50573585
Highlands,1,1,5,1,5,0,0,1,0,1,2,1,185,29,2,1,10,232,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,1,NA,4,33405.03791,0.712050629,1.5,298.0029427,287.4711854,405.449778,460.862287,0.543748678,0.511964477,0.373897698,44643,7436,1773,594,1167183.213,5261548.071,19558820.22,90084633.31,43.682354,44.5843163,44.6263123,34.2958412,83.7504018,82.03436928,96.77627854,117.2674362,4201.315418,159.91,159.91,847.98,0.01,0.08,0.02,2,0,2,15,0,0,0,21,18.20976697,67.73764149
Highlands,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,2,3,0,0,0,0,0,0,0,0,0,13,4,2,NA,4,33405.03791,0.712050629,1.5,298.0029427,287.4711854,405.449778,460.862287,0.543748678,0.511964477,0.373897698,44643,7436,1773,594,1167183.213,5261548.071,19558820.22,90084633.31,43.682354,44.5843163,44.6263123,34.2958412,83.7504018,82.03436928,96.77627854,117.2674362,4201.315418,159.91,159.91,847.98,0.01,0.08,0.02,2,0,2,15,0,0,0,21,9.855669811,82.71540566
Hill Lake,1,1,72,16,2,0,20,1,0,1,0,1,0,0,80,8,8,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,1,10235.84198,0.841674242,3,498.2139452,589.5203545,577.1100408,416.447929,0.374778075,0.333178599,0.355758181,359086,19715,5719,529,4751122.999,15835265.72,49598059.77,146568031,61.8076935,61.7970085,61.485878,58.5679436,84.02166087,121.7425908,120.6768473,122.576868,17359.99793,138.04,138.04,646.34,0.01,0,0.15,0,1,1,3,0,1,1,1,13.08907143,75.26493878
Hill Lake,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,NA,1,10235.84198,0.841674242,3,498.2139452,589.5203545,577.1100408,416.447929,0.374778075,0.333178599,0.355758181,359086,19715,5719,529,4751122.999,15835265.72,49598059.77,146568031,61.8076935,61.7970085,61.485878,58.5679436,84.02166087,121.7425908,120.6768473,122.576868,17359.99793,138.04,138.04,646.34,0.01,0,0.15,0,1,1,3,0,1,1,1,17.68966997,75.01942265
Illawong,1,1,18,37,0,0,1,1,0,1,0,1,0,0,28,0,6,86,0,3,0,0,15,1,10,0,0,0,0,0,0,0,0,0,29,4,1,NA,1,19966.17526,1.313736252,2.5,370.3839764,394.8685147,429.5348355,547.905518,0.42586755,0.430830868,0.417574152,76603,13551,1492,684,3107192.46,6512302.588,19317818.29,100539749.4,58.1428566,58.0993233,56.8047447,55.1273956,113.1266372,113.2658574,128.8296667,135.7186036,28270.04451,92.94,92.94,140.3,0,0,0.01,0,0,0,0,0,0,0,0,14.87313265,74.26113265
Illawong,1,2,12,1,2,0,0,1,0,1,0,0,0,0,21,2,6,39,0,6,0,0,22,1,12,0,0,0,0,1,0,0,0,0,42,5,2,NA,1,19966.17526,1.313736252,2.5,370.3839764,394.8685147,429.5348355,547.905518,0.42586755,0.430830868,0.417574152,76603,13551,1492,684,3107192.46,6512302.588,19317818.29,100539749.4,58.1428566,58.0993233,56.8047447,55.1273956,113.1266372,113.2658574,128.8296667,135.7186036,28270.04451,92.94,92.94,140.3,0,0,0.01,0,0,0,0,0,0,0,0,14.93775472,86.00573585
Jackropper,1,1,137,1,1,0,0,0,0,0,3,1,0,0,2,8,7,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,51348.70401,5.701208039,3,297.9402645,329.8175793,263.5050245,382.180919,0.407134509,0.459304401,0.473926689,15335,9586,3426,635,830247.8828,4094629.997,33396175.31,129839956.1,0,62.6159859,62.6481667,62.6508331,112.6712555,124.5999602,128.378605,117.4529916,2689.257321,1092.27,1092.27,1072.3,0.03,0.8,0.45,5,3,8,15,0,0,0,3,16.13578302,75.24813208
Jackropper,1,2,9,1,0,0,0,0,0,0,1,2,0,0,0,0,4,13,0,5,2,0,3,2,1,0,0,0,0,0,0,0,0,0,13,5,2,1,4,51348.70401,5.701208039,3,297.9402645,329.8175793,263.5050245,382.180919,0.407134509,0.459304401,0.473926689,15335,9586,3426,635,830247.8828,4094629.997,33396175.31,129839956.1,0,62.6159859,62.6481667,62.6508331,112.6712555,124.5999602,128.378605,117.4529916,2689.257321,1092.27,1092.27,1072.3,0.03,0.8,0.45,5,3,8,15,0,0,0,3,12.43623585,77.06366038
Kalparrin,1,1,37,20,2,0,5,6,0,6,0,1,416,64,21,4,10,576,20,20,0,2,48,0,42,0,1,0,1,0,0,0,0,0,134,7,1,NA,2,8867.179,3.345699894,1.5,256.1164081,247.6530756,262.7098268,208.932285,0.434077775,0.410090396,0.480128632,16425,111496,26265,6525,732139.0028,17574771.83,29335396.24,172548402,60.9102554,60.583149,60.4127846,55.1628647,108.4491821,107.6104388,115.211094,105.3199236,266.2034513,2452.21,266.2034513,899.97,0.01,0.05,0.65,3,2,5,5,1,3,4,1,15.37907547,74.73274528
Kalparrin,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,NA,2,8867.179,3.345699894,1.5,256.1164081,247.6530756,262.7098268,208.932285,0.434077775,0.410090396,0.480128632,16425,111496,26265,6525,732139.0028,17574771.83,29335396.24,172548402,60.9102554,60.583149,60.4127846,55.1628647,108.4491821,107.6104388,115.211094,105.3199236,266.2034513,2452.21,266.2034513,899.97,0.01,0.05,0.65,3,2,5,5,1,3,4,1,17.68966997,75.01942265
Kinterbury,1,1,22,0,0,0,0,2,0,2,4,1,0,0,0,1,5,30,190,294,0,72,78,22,116,0,0,0,0,2,0,0,0,0,774,7,2,1,4,1259.51324,1.654573197,2.5,394.3755235,351.5434855,314.2818891,278.067454,0.288536329,0.422146447,0.480349903,442,507,267,236,861359.7641,3254539.582,27610606.22,255702533.7,NA,62.8010788,62.1671486,55.0982666,NA,NA,NA,NA,5850.791528,370.42,370.42,428.65,0.8,0.78,0.05,4,2,6,0,0,0,0,10,20.9505566,60.35906604
Kinterbury,1,2,35,0,1,0,0,0,0,0,6,1,0,0,0,3,5,46,6,10,0,1,3,0,0,0,0,0,0,0,0,0,0,0,20,4,1,1,4,1259.51324,1.654573197,2.5,394.3755235,351.5434855,314.2818891,278.067454,0.288536329,0.422146447,0.480349903,442,507,267,236,861359.7641,3254539.582,27610606.22,255702533.7,NA,62.8010788,62.1671486,55.0982666,NA,NA,NA,NA,5850.791528,370.42,370.42,428.65,0.8,0.78,0.05,4,2,6,0,0,0,0,10,16.14532075,83.61231132
Koonung,1,1,233,2,18,1,0,1,0,1,18,6,0,0,5,20,9,304,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,1,1,2190.03574,0.100762203,1.8,242.9737693,249.3806823,217.2468992,197.73715,0.42581457,0.421429847,0.457673348,154467,82413,20779,4052,813528.3377,20871838.49,50522803.67,174943458.3,61.7374992,61.5767746,61.6731262,62.3493958,109.1773013,113.3908268,117.4834362,113.7519235,4013.114895,105.08,105.08,458.35,0.66,1,0.15,1,4,5,0,0,0,0,6,18.77146226,82.97161321
Koonung,1,2,129,2,2,0,0,1,0,1,0,1,0,0,8,1,7,144,10,3,0,0,20,3,13,0,1,0,0,0,0,0,0,0,50,6,2,1,1,2190.03574,0.100762203,1.8,242.9737693,249.3806823,217.2468992,197.73715,0.42581457,0.421429847,0.457673348,154467,82413,20779,4052,813528.3377,20871838.49,50522803.67,174943458.3,61.7374992,61.5767746,61.6731262,62.3493958,109.1773013,113.3908268,117.4834362,113.7519235,4013.114895,105.08,105.08,458.35,0.66,1,0.15,1,4,5,0,0,0,0,6,20.50174528,68.19516038
Lakewood,1,1,10,40,0,0,1,2,1,3,0,2,120,14,52,0,9,242,2,14,0,0,13,3,4,0,2,0,0,0,0,0,0,0,38,6,1,1,1,42646.74831,0.232753594,3,438.5933096,461.0008654,418.1497881,367.753939,0.371665045,0.401805782,0.457996888,6960,40953,10318,1210,642635.6022,20679692.03,132312179,256380011.4,62.0125008,62.0437889,62.0490913,61.9361649,98.8515387,108.9544862,113.8495833,115.1803792,14539.90716,813.14,813.14,135.75,0.02,1,0.07,3,0,3,0,2,1,3,19,12.95454082,75.01942265
Lakewood,1,2,0,14,4,0,18,1,0,1,0,0,0,0,36,1,6,74,16,28,0,3,222,2,45,0,2,0,0,1,0,0,0,0,319,8,2,1,1,42646.74831,0.232753594,3,438.5933096,461.0008654,418.1497881,367.753939,0.371665045,0.401805782,0.457996888,6960,40953,10318,1210,642635.6022,20679692.03,132312179,256380011.4,62.0125008,62.0437889,62.0490913,61.9361649,98.8515387,108.9544862,113.8495833,115.1803792,14539.90716,813.14,813.14,135.75,0.02,1,0.07,3,0,3,0,2,1,3,19,16.67400943,75.01942265
Landcox,1,1,0,0,7,0,0,1,0,1,9,4,0,0,208,24,6,253,0,2,0,0,16,0,7,0,0,0,0,0,0,0,0,0,25,3,2,2,1,3356.24411,0.189365699,3,328.2643259,315.961281,292.8998543,274.247969,0.347886283,0.341364722,0.365105482,18674,20767,15910,5171,970027.5003,8209725.408,35235728.85,197347981.5,NA,62.0110321,62.3586845,62.8039627,91.25031025,104.5374237,108.4696193,110.3813114,8047.896855,2168.27,2168.27,2575.31,0.1,0.75,0.25,2,0,2,15,5,2,7,3,15.18197959,72.425
Landcox,1,2,182,74,2,0,8,3,0,3,16,6,0,3,143,13,10,450,13,6,12,3,28,29,4,0,2,0,0,0,0,0,0,0,97,8,1,2,1,3356.24411,0.189365699,3,328.2643259,315.961281,292.8998543,274.247969,0.347886283,0.341364722,0.365105482,18674,20767,15910,5171,970027.5003,8209725.408,35235728.85,197347981.5,NA,62.0110321,62.3586845,62.8039627,91.25031025,104.5374237,108.4696193,110.3813114,8047.896855,2168.27,2168.27,2575.31,0.1,0.75,0.25,2,0,2,15,5,2,7,3,22.37198113,75.01942265
Leamington,1,1,8,0,1,0,0,0,0,0,0,0,0,0,0,0,2,9,24,37,0,6,21,17,50,0,0,0,0,0,0,0,0,0,155,6,1,1,4,8830.96619,4.387203424,4,262.5385451,239.8847214,215.5756895,150.65529,0.361941692,0.355098498,0.425569049,25579,21632,5649,1870,1529496.149,4549988.05,15710969.45,210266270.6,62.2678566,62.0947723,62.2377586,62.4511833,123.8790443,139.8751483,136.6622863,114.821269,1360.017144,271.8,271.8,2234.55,0.25,0.6,0.15,0,1,1,0,0,0,0,0.5,16.13578302,75.24813208
Leamington,1,2,3,0,0,0,0,0,0,0,1,5,0,0,1,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,8830.96619,4.387203424,4,262.5385451,239.8847214,215.5756895,150.65529,0.361941692,0.355098498,0.425569049,25579,21632,5649,1870,1529496.149,4549988.05,15710969.45,210266270.6,62.2678566,62.0947723,62.2377586,62.4511833,123.8790443,139.8751483,136.6622863,114.821269,1360.017144,271.8,271.8,2234.55,0.25,0.6,0.15,0,1,1,0,0,0,0,0.5,17.87166981,75.01942265
Lilydale,1,1,33,9,5,1,4,3,0,3,7,0,11,1,10,63,12,147,5,33,2,3,50,0,31,0,2,0,1,0,1,0,1,0,129,10,2,1,2,319300,0.2569,3,229.0605131,244.1099782,314.7075753,282.822703,0.433318207,0.387943112,0.219095863,164965,61226,13539,4039,745572.3079,3692934.418,14609193.65,87389351.23,NA,53.6597672,53.6172752,21.6865273,153.4437802,118.8413009,136.8819075,136.4907248,6412.546638,329.92,329.92,1627.78,0.03,0.85,0.1,4,66,70,0,46,4,50,2,16.26545283,74.29465094
Lilydale,1,2,33,32,0,14,7,4,2,6,36,3,22,5,42,77,13,277,14,10,23,2,28,2,4,0,0,1,0,0,0,0,0,0,84,8,1,1,2,319300,0.2569,3,229.0605131,244.1099782,314.7075753,282.822703,0.433318207,0.387943112,0.219095863,164965,61226,13539,4039,745572.3079,3692934.418,14609193.65,87389351.23,NA,53.6597672,53.6172752,21.6865273,153.4437802,118.8413009,136.8819075,136.4907248,6412.546638,329.92,329.92,1627.78,0.03,0.85,0.1,4,66,70,0,46,4,50,2,16.3287549,75.01942265
Mill Park,1,1,23,7,3,2,4,2,0,2,1,7,21,2,12,1,12,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA,4,15321.20884,0.220265545,1.1,258.7868976,274.8028093,297.8475869,231.499918,0.362155322,0.463548073,0.317023164,346,1296,335,39,611326.4801,3263134.912,84700483.69,226543760.1,NA,NA,57.3878098,57.9404755,85.11533325,99.34550565,99.31035404,101.6427525,2473.745001,372.05,372.05,548.35,0.3,0.75,0.03,1,0,1,0,0,0,0,1,21.92839623,59.30427358
Mill Park,1,2,95,38,7,0,15,2,1,3,0,234,59,3,43,5,11,502,0,12,0,0,8,0,0,0,0,0,0,0,0,0,0,0,20,2,2,NA,4,15321.20884,0.220265545,1.1,258.7868976,274.8028093,297.8475869,231.499918,0.362155322,0.463548073,0.317023164,346,1296,335,39,611326.4801,3263134.912,84700483.69,226543760.1,NA,NA,57.3878098,57.9404755,85.11533325,99.34550565,99.31035404,101.6427525,2473.745001,372.05,372.05,548.35,0.3,0.75,0.03,1,0,1,0,0,0,0,1,15.81138679,75.01942265
Monteray,1,1,270,13,3,0,1,6,0,6,13,0,13,6,52,18,10,395,12,14,0,3,128,0,0,2,16,0,0,0,0,0,0,0,175,6,2,2,1,2229.80299,0.541005496,3,264.3314206,232.3127207,234.5714309,238.976742,0.458186078,0.461243206,0.453746257,137,72069,22856,3804,684297.8933,3127807.565,13272692.44,128391096.6,51.7530861,49.5355034,51.8070641,58.3253021,92.89791794,102.8168844,103.1117869,112.8386788,5681.694411,311.77,311.77,963.09,0.8,0.01,1,4,1,5,0,4,2,6,1,15.98055556,74.71175926
Monteray,1,2,91,12,1,1,0,0,0,0,9,1,2,6,13,10,10,146,5,5,0,0,41,0,3,0,2,0,1,0,0,0,0,0,57,6,2,2,1,2229.80299,0.541005496,3,264.3314206,232.3127207,234.5714309,238.976742,0.458186078,0.461243206,0.453746257,137,72069,22856,3804,684297.8933,3127807.565,13272692.44,128391096.6,51.7530861,49.5355034,51.8070641,58.3253021,92.89791794,102.8168844,103.1117869,112.8386788,5681.694411,311.77,311.77,963.09,0.8,0.01,1,4,1,5,0,4,2,6,1,20.21933019,75.01942265
Mt St Joseph,1,1,56,3,0,0,0,0,0,0,0,0,0,0,3,3,4,65,61,54,0,6,96,25,0,0,0,0,0,0,0,0,0,0,242,5,2,NA,4,3935.79101,5.2942,1.8,629.7098323,465.8578096,389.8651587,306.250743,0.395283333,0.344584286,0.432953834,154467,0,490,511,1716925.157,4806951.333,13234342.85,124825766.9,NA,NA,60.3678169,NA,125.0101886,109.7670865,121.545859,134.9001007,8113.48457,637.7,637.7,10005,0.6,1,0.05,0,0,0,0,0,0,0,5,23.5454434,53.69895283
Mt St Joseph,1,2,0,0,1,0,0,1,0,1,0,1,0,0,2,1,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA,4,3935.79101,5.2942,1.8,629.7098323,465.8578096,389.8651587,306.250743,0.395283333,0.344584286,0.432953834,154467,0,490,511,1716925.157,4806951.333,13234342.85,124825766.9,NA,NA,60.3678169,NA,125.0101886,109.7670865,121.545859,134.9001007,8113.48457,637.7,637.7,10005,0.6,1,0.05,0,0,0,0,0,0,0,5,17.66366038,82.07457547
Mullum,1,1,161,12,1,2,1,5,0,5,43,4,15,2,15,44,12,305,101,89,0,10,366,64,55,0,0,0,0,0,0,15,0,0,700,7,2,NA,2,2148.925,0.578301949,0.5,288.3022822,345.8598191,286.1420522,233.153465,0.470358976,0.478491763,0.54171526,154467,90897,40416,16173,937013.4639,3582015.698,24075405.79,174153432.3,51.7073212,48.4491272,51.4131126,NA,105.699263,123.6386654,124.4588251,131.9678493,171.8809833,567.97,171.8809833,128.45,0.32,0.1,0.85,2,2,4,2,3,3,6,2,18.07074528,84.1079717
Mullum,1,2,150,11,11,2,1,5,0,5,15,23,8,4,97,29,12,356,106,203,0,104,133,42,94,0,0,0,0,0,2,0,0,0,684,7,2,NA,2,2148.925,0.578301949,0.5,288.3022822,345.8598191,286.1420522,233.153465,0.470358976,0.478491763,0.54171526,154467,90897,40416,16173,937013.4639,3582015.698,24075405.79,174153432.3,51.7073212,48.4491272,51.4131126,NA,105.699263,123.6386654,124.4588251,131.9678493,171.8809833,567.97,171.8809833,128.45,0.32,0.1,0.85,2,2,4,2,3,3,6,2,24.04886792,57.5619434
Newells,1,1,10,2,0,0,0,0,0,0,0,0,0,0,6,1,4,19,302,323,0,24,119,128,130,0,2,0,23,0,0,0,0,0,1051,8,2,NA,1,9801.61189,0.271219813,2,393.651363,491.5563198,491.708308,529.528762,0.241182692,0.300087374,0.42285427,154467,24422,4772,1008,3205170.368,14514656.44,135729612.2,569072354.4,NA,63,62.9896736,NA,84.69531758,76.78163158,87.16015711,92.42281294,35.19790401,250.81,35.19790401,3791.15,0.47,0.35,0.05,0,40,40,0,0,0,0,2,23.0487037,74.08357407
Newells,1,2,19,11,8,0,0,1,0,1,0,10,0,0,14,0,6,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,1,9801.61189,0.271219813,2,393.651363,491.5563198,491.708308,529.528762,0.241182692,0.300087374,0.42285427,154467,24422,4772,1008,3205170.368,14514656.44,135729612.2,569072354.4,NA,63,62.9896736,NA,84.69531758,76.78163158,87.16015711,92.42281294,35.19790401,250.81,35.19790401,3791.15,0.47,0.35,0.05,0,40,40,0,0,0,0,2,16.14532075,83.61231132
Nillumbik,1,1,26,55,4,0,1,0,0,0,0,0,241,0,0,0,5,327,45,28,0,7,66,0,139,0,0,0,0,0,0,0,0,2,287,6,1,NA,2,4639.51353,0.36275327,1.7,258.7434572,241.3215243,228.1257113,220.850906,0.520311496,0.435490849,0.426162633,174742,129103,30244,7971,989051.7804,3173874.912,12161759.04,79648964.52,39.5185204,34.9852715,41.515976,26.8234215,103.1817723,117.6453636,137.6939331,142.0009325,35.83689668,159.3,35.83689668,403.61,0.03,0.92,0.01,1,0,1,0,0,0,0,25,15.13558491,73.12940566
Nillumbik,1,2,23,85,1,0,3,1,0,1,1,1,0,0,3,1,9,119,2,21,0,0,68,2,2,0,0,0,1,0,0,0,0,0,96,6,2,NA,2,4639.51353,0.36275327,1.7,258.7434572,241.3215243,228.1257113,220.850906,0.520311496,0.435490849,0.426162633,174742,129103,30244,7971,989051.7804,3173874.912,12161759.04,79648964.52,39.5185204,34.9852715,41.515976,26.8234215,103.1817723,117.6453636,137.6939331,142.0009325,35.83689668,159.3,35.83689668,403.61,0.03,0.92,0.01,1,0,1,0,0,0,0,25,10.79133019,90.46303774
Old Joes,1,1,43,130,0,0,0,37,11,48,11,0,2,1,179,81,9,495,193,22,0,44,162,2,0,0,0,2,0,2,0,4,0,0,431,8,2,1,1,564.58774,1.7486,0.5,416.7953848,434.3131797,362.3713323,336.280405,0.38216143,0.396383514,0.523679167,36026,58619,26209,10762,741474.8128,3659575.895,18661775.39,183017849.8,61.0506363,61.4050636,59.9362068,26.1358032,112.183931,116.9131901,123.7443736,120.7508992,13365.64673,1048.08,1048.08,665.54,0.01,0.9,1,6,5,11,0,2,0,2,1,17.5620102,75.01942265
Old Joes,1,2,254,88,18,0,0,32,11,43,62,1,3,1,90,91,12,651,13,3,0,0,10,3,0,0,0,0,0,0,0,0,0,0,29,4,2,1,1,564.58774,1.7486,0.5,416.7953848,434.3131797,362.3713323,336.280405,0.38216143,0.396383514,0.523679167,36026,58619,26209,10762,741474.8128,3659575.895,18661775.39,183017849.8,61.0506363,61.4050636,59.9362068,26.1358032,112.183931,116.9131901,123.7443736,120.7508992,13365.64673,1048.08,1048.08,665.54,0.01,0.9,1,6,5,11,0,2,0,2,1,19.22575472,70.23818868
Pezzimenti,1,1,116,42,1,0,0,2,1,3,12,0,40,0,47,7,9,268,37,20,0,1,46,9,40,0,1,1,0,0,0,0,0,0,155,8,2,1,2,1705.2026,0.803566168,1.1,253.8908673,277.4939361,237.5420232,225.474281,0.525222632,0.540094368,0.508453595,89844,94295,33278,6839,698428.2018,3166105.518,16917774.13,95969383.49,39.9350662,32.5249825,44.1686745,13.5847206,105.1838125,126.1824646,121.4391868,118.386694,4493.986148,133.24,133.24,332.13,0.23,0.1,0.4,11,6,17,0,0,5,5,10,16.72983962,74.25118868
Pezzimenti,1,2,22,17,3,0,0,4,1,5,2,0,3,7,70,2,10,131,45,4,0,0,5,21,7,0,0,0,2,0,0,1,0,0,85,7,1,1,2,1705.2026,0.803566168,1.1,253.8908673,277.4939361,237.5420232,225.474281,0.525222632,0.540094368,0.508453595,89844,94295,33278,6839,698428.2018,3166105.518,16917774.13,95969383.49,39.9350662,32.5249825,44.1686745,13.5847206,105.1838125,126.1824646,121.4391868,118.386694,4493.986148,133.24,133.24,332.13,0.23,0.1,0.4,11,6,17,0,0,5,5,10,15.79433333,86.00336275
Queens Park,1,1,48,1,1,0,0,1,0,1,6,1,0,0,1,13,8,72,38,142,0,11,194,9,314,0,0,0,3,0,0,0,0,0,711,7,2,1,1,15090.98209,10.42970356,3,288.1412349,252.9538632,235.3295544,255.085935,0.335771176,0.293458353,0.331536678,1662,11182,6018,2520,2704700.879,9704200.192,29915659.18,380912962.1,62.9404755,62.8928566,62.9515076,62.6421318,89.02352881,99.72325576,108.3955074,104.7551652,979.1171229,1047.62,979.1171229,3228.55,0.01,0,0.4,1,3,4,2,0,4,4,8,22.33513208,59.00648113
Queens Park,1,2,7,0,4,0,0,1,0,1,0,0,0,0,0,0,3,12,1,11,0,1,12,0,40,0,0,0,0,0,0,0,0,0,65,5,2,1,1,15090.98209,10.42970356,3,288.1412349,252.9538632,235.3295544,255.085935,0.335771176,0.293458353,0.331536678,1662,11182,6018,2520,2704700.879,9704200.192,29915659.18,380912962.1,62.9404755,62.8928566,62.9515076,62.6421318,89.02352881,99.72325576,108.3955074,104.7551652,979.1171229,1047.62,979.1171229,3228.55,0.01,0,0.4,1,3,4,2,0,4,4,8,17.87166981,75.01942265
Redleap,1,1,406,24,12,0,2,12,0,12,0,9,0,0,9,30,8,504,154,25,0,34,109,57,3,0,11,1,0,2,0,0,1,0,397,10,2,1,4,15727.85054,0.125402541,3,264.347122,267.5452195,255.7999822,335.845723,0.374409749,0.354565183,0.375012756,154467,21103,6117,1820,4829083.767,6848185.721,87976053.44,238245344.1,61.658535,61.7742996,61.6635704,NA,93.88117579,96.9248162,95.83946799,104.972985,1727.121951,1432.92,1432.92,1417.77,0.28,0.97,0.95,3,8,11,0,1,1,2,2,22.70863208,56.97742453
Redleap,1,2,20,68,16,0,2,2,0,2,1,1,0,0,0,1,8,111,0,6,0,1,9,0,1,0,0,0,0,0,0,0,0,0,17,4,2,1,4,15727.85054,0.125402541,3,264.347122,267.5452195,255.7999822,335.845723,0.374409749,0.354565183,0.375012756,154467,21103,6117,1820,4829083.767,6848185.721,87976053.44,238245344.1,61.658535,61.7742996,61.6635704,NA,93.88117579,96.9248162,95.83946799,104.972985,1727.121951,1432.92,1432.92,1417.77,0.28,0.97,0.95,3,8,11,0,1,1,2,2,17.06696296,75.01942265
Ringwood,1,1,115,1,3,1,0,0,0,0,2,1,0,0,1,2,8,126,7,3,0,2,26,4,1,0,1,0,0,0,0,0,0,0,44,7,2,2,1,12770.11904,0.41560621,2,307.3636082,237.2726296,203.9747629,196.435424,0.396290012,0.377582396,0.352203039,154467,79503,18461,6083,958698.2584,26888132.48,45728352.38,126611778.6,NA,60.4160919,60.658783,NA,98.02011101,113.3869978,116.6085745,107.3157082,7736.296234,1230.4,1230.4,1609.4,0.14,0.8,0.95,2,0,2,14,4,0,4,2.5,13.09537755,78.83516327
Ringwood,1,2,55,1,13,0,0,0,0,0,6,0,1,0,1,4,7,81,0,1,0,0,5,3,0,0,0,0,0,0,0,0,0,0,9,3,1,2,1,12770.11904,0.41560621,2,307.3636082,237.2726296,203.9747629,196.435424,0.396290012,0.377582396,0.352203039,154467,79503,18461,6083,958698.2584,26888132.48,45728352.38,126611778.6,NA,60.4160919,60.658783,NA,98.02011101,113.3869978,116.6085745,107.3157082,7736.296234,1230.4,1230.4,1609.4,0.14,0.8,0.95,2,0,2,14,4,0,4,2.5,16.57081373,82.00577451
Shankland,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,114,0,40,192,13,107,0,13,0,4,4,0,1,0,13,718,11,2,1,4,6253.76891,2.0633,1.8,341.4488838,269.2005593,216.2868356,176.752861,0.381734234,0.360909434,0.411569002,4990,6669,2056,518,649020.381,3621458.241,16387288.41,118602667.2,NA,58.0747147,59.820591,59.9608841,76.4567675,83.85541148,102.0744604,117.3696465,3310.538726,217.06,217.06,189.44,0.44,0.55,0.1,2,0,2,0,0,0,0,13,19.75840566,71.75206604
Shankland,1,2,18,2,2,0,0,0,0,0,0,5,0,0,2,0,5,29,2,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,6,4,1,1,4,6253.76891,2.0633,1.8,341.4488838,269.2005593,216.2868356,176.752861,0.381734234,0.360909434,0.411569002,4990,6669,2056,518,649020.381,3621458.241,16387288.41,118602667.2,NA,58.0747147,59.820591,59.9608841,76.4567675,83.85541148,102.0744604,117.3696465,3310.538726,217.06,217.06,189.44,0.44,0.55,0.1,2,0,2,0,0,0,0,13,15.63584906,84.90873585
