Site,Urban,NatEx,Bioregion,Size,SQQ,Water Depth,Imp 5km,Imp2km,Imp1km,Imp500m,NDVI2km,NDVI1km,NDVI500m,Trees 5km,Trees2km,Trees1km,Trees500m,House500,House1km,House2km,House5km,Light500m,Light1km,Light2km,Light5km,Road500m,Road1km,Road2km,Road5km,Distriver,Distwetland,Distwater,Distbushland,Aqvegcov,EphemVeg,TreeCoverage,TreesLarge>20dbh.plot,TreesSmall<20dbh.plot,Trees total.plot,Shrubs.plot,Hollows.total,Otherroostsnumber.total,TotalRoost,Distance1sttree
Southern Road,NA,NA,1,3046.45888,5.9204,1.6,436.4007451,431.4528127,507.3364255,517.58316,0.398573149,0.351393576,0.306092215,84469,24374,5824,1657,8194609.686,70317826.8,269279001.3,463205604.9,NA,62.2757111,62.2566147,62.1820602,118.0992749,118.7817476,116.1058897,113.1383477,16892.04321,600.61,600.61,1457.19,0.46,0.0,0.0,0,0,0,0,0,0,0,0.0
Station Waters,NA,1,4,11204.83655,0.51209248,2.0,399.9564736,387.4510616,381.5537766,396.687314,0.36746239,0.34320964,0.359987586,381,2067,1865,984,593302.2887,3445145.025,39124329.83,148012839.5,62.7738152,62.7531128,62.7118988,62.4312286,100.9325131,103.79599,99.77333201,109.4878792,5241.429073,167.09,167.09,6224.53,0.16,0.93,0.1,4,1,5,0,0,0,0,0.5
Stockland,NA,1,4,8175.31647,0.737209155,1.5,287.1983618,276.3912556,261.0882041,214.722323,0.528369129,0.497202315,0.477694376,98184,17902,6272,1188,798592.7076,4385554.988,20071694.11,118808361.8,45.5121956,38.281662,47.438446,25.8834553,111.4509686,120.3045056,107.007953,117.8737765,626.4474036,1176.23,626.4474036,320.91,0.32,0.95,0.01,1,0,1,0,2,1,3,14.0
Tim Nev,NA,2,1,2676.76667,0.272255071,2.5,407.6010337,366.9289941,315.1189953,336.081247,0.429224945,0.426047797,0.470814437,12475,94530,19189,3951,3132731.862,5751890.08,17346514.28,218168882.2,61.551281,61.348896,60.6848183,NA,116.3705526,132.1063359,127.3204557,122.9876126,13705.7014,1912.88,1912.88,552.74,0.04,0.18,0.1,1,0,1,3,0,1,1,3.5
Truganina,NA,NA,4,21772.47276,1.862732186,3.0,593.9342532,358.3643306,286.5283504,252.379567,0.296853227,0.459779876,0.336947763,154467,5195,4376,737,851737.0518,3699122.3,12538273.64,120544692.5,61.8470573,62.3495941,60.4679604,31.0595245,82.13297233,117.5848591,121.1134999,131.6774391,8634.72233,447.34,447.34,10592.0,0.16,0.2,0.0,0,0,0,0,0,0,0,25.0
Valley Reserve,NA,1,1,5866.05903,1.152317098,1.0,323.5884745,273.24243,191.7453986,186.347969,0.372123583,0.422889647,0.463319021,218175,89517,34401,10517,731191.9246,4125895.575,48525647.59,328239582.0,63.0,62.6705208,62.7354317,62.8023148,99.32582192,108.3616546,121.7572664,113.2271288,11422.6187,37.14,37.14,340.83,0.71,1.0,0.05,3,1,4,1,1,1,2,21.0
Watervale,NA,1,4,1840.66648,0.3681,2.0,410.4940393,361.0279338,354.3412294,399.403944,0.318510898,0.262527499,0.284162729,12,133,101,90,637839.2781,2780122.832,14447016.51,241006982.1,62.5250015,62.4124985,NA,NA,77.02147332,76.7871864,84.37993068,104.053865,5094.639493,575.07,575.07,2789.18,0.38,0.05,0.4,1,2,3,0,0,0,0,1.5
Waterways Bowen,NA,1,1,82609.82724,3.900861655,1.5,423.1182918,496.9736355,377.2557127,306.618238,0.570225679,0.47577503,0.404752003,19000,9797,3025,257,791456.2183,3550386.523,17230374.68,277178070.4,60.8045959,61.3964577,61.3649292,60.9574547,83.51770013,98.19452264,107.85904909999999,113.9839331,21999.56675,320.19,320.19,846.46,0.05,0.75,0.05,1,4,5,0,0,0,0,10.0
Wattle Park,NA,1,1,163.55319,0.343963856,1.0,220.3522418,208.8131606,206.9347195,204.049558,0.410670578,0.443064164,0.516273337,154467,60958,26820,6482,2209397.149,5969037.351,26486092.1,176955864.7,62.2117691,62.2967796,62.2590446,NA,89.76305008,104.2981383,108.4359465,111.3391571,7103.477653,897.11,897.11,3899.57,0.8,0.98,1.0,0,2,2,0,2,2,4,10.0
Woodland,NA,NA,1,5818.52315,1.431279676,2.0,300.2468067,294.4962087,279.9469961,278.205683,0.374249467,0.346216195,0.385402679,3235,15475,9969,2719,1265311.967,5669690.352,38525230.47,270991135.7,62.9529381,62.9470596,62.9078445,62.720932,89.74668051,119.6289096,121.7829462,115.1593842,1516.570097,3255.0,1516.570097,546.24,0.05,0.15,0.3,3,1,4,0,0,0,0,30.0
Wurundjeri,NA,1,1,3627.42782,0.109144903,1.0,232.846909,223.4530605,242.3886387,225.699636,0.39258031,0.401554715,0.418304615,154467,30673,15921,3581,18426984.76,26741828.84,48673183.32,187022176.9,62.1500015,62.1948166,62.2955246,NA,107.1301697,111.42499,106.9976522,108.040677,8895.030282,585.98,585.98,1678.22,0.91,1.0,0.01,0,1,1,0,0,0,0,6.0
Yarrunga,NA,NA,1,2059.90581,0.489632073,3.0,257.3844224,252.6363544,248.3581712,247.537709,0.490068746,0.434475406,0.47275885,154467,11864,8412,3203,690167.4385,3032744.395,13343361.09,102048367.7,NA,42.1950302,40.1474953,NA,94.1092232,101.1766099,107.651167,112.3441859,4810.207371,387.28,387.28,131.71,0.11,0.15,0.95,3,0,3,0,1,3,4,0.5
1,moderate,NA,4,230900.0,NA,NA,416.2280208,346.9455487,328.8682001,316.973745,0.430206987,0.385749386,0.4260916,45154,8187,2357,1081,681712.6576,4812616.361,21389101.38,112645738.9,NA,39.9253082,37.6746025,34.4898834,70.02464761,81.76663975,100.600795,113.645593,1704.823255,557.75,557.75,1393.0,NA,NA,0.5,NA,NA,NA,NA,1,1,2,NA
2,open,NA,4,866.02595,NA,NA,430.5203753,351.0391482,316.7744206,340.782735,0.395494268,0.468427929,0.232086419,3439,2309,481,16,707916.7102,3072208.584,20488556.34,170018173.1,51.2345695,41.9238205,44.2973366,50.0304184,84.46953504,83.03081732,98.22742982,108.8714942,1156.491199,656.04,656.04,1043.0,NA,NA,0.0,NA,NA,NA,NA,0,0,0,NA
2,open,NA,4,866.03,NA,NA,430.5203753,351.0391482,316.7744206,340.782735,0.395494268,0.468427929,0.232086419,3439,2309,481,16,707916.7102,3072208.584,20488556.34,170018173.1,51.2345695,41.9238205,44.2973366,50.0304184,84.46953504,83.03081732,98.22742982,108.8714942,1156.491199,656.04,656.04,1043.0,NA,NA,0.0,NA,NA,NA,NA,0,0,0,NA
3,open,NA,4,8574.93605,NA,NA,421.4503437,325.7437195,294.5823864,286.737403,0.59818446,0.337797394,0.347826721,2701,578,711,424,826475.2257,5443401.092,21051756.46,97919839.41,47.841465,39.8375015,38.6269951,11.0924006,88.71352807,87.20239129,99.09845403,121.4074236,2258.181494,339.76,339.76,2389.0,NA,NA,0.0,NA,NA,NA,NA,0,0,0,NA
3,open,NA,4,8574.94,NA,NA,421.4503437,325.7437195,294.5823864,286.737403,0.59818446,0.337797394,0.347826721,2701,578,711,424,826475.2257,5443401.092,21051756.46,97919839.41,47.841465,39.8375015,38.6269951,11.0924006,88.71352807,87.20239129,99.09845403,121.4074236,2258.181494,339.76,339.76,2389.0,NA,NA,0.0,NA,NA,NA,NA,0,0,0,NA
4,moderate,NA,4,233600.0,NA,NA,677.128941,508.6883188,395.1021409,368.206625,0.326276818,0.363597806,0.379906493,36573,7907,2236,376,904289.8548,4056191.076,15761471.42,141477276.2,62.764164,62.9767418,62.893589,61.6403999,113.5905794,113.2560888,130.8615245,138.9739044,7201.188461,405.51,405.51,8284.9,NA,NA,0.4,NA,NA,NA,NA,0,1,1,NA
6,moderate,NA,4,563500.0,NA,NA,799.7497744,3748.379809,5751.504861,6146.558854,0.214700925,0.293458118,0.33809915,4252,1904,526,153,735811.2252,3068619.963,15402198.1,124848385.1,63.0,63.0,63.0,62.8832283,376.2473873,229.0807913,209.8942249,143.8444031,8621.013193,1023.61,1023.61,10329.0,NA,NA,0.02,NA,NA,NA,NA,0,0,0,NA
8,open,2,4,16603.97835,NA,NA,411.3969953,366.8576934,354.1444176,352.051948,0.330582971,0.32584163,0.304724583,6411,1288,489,124,590800.8061,4897907.522,18109133.94,116801924.0,62.1309509,62.5845299,62.2988892,53.11726,92.97476771,89.13677161,94.18438269,113.0117903,8248.897609,496.21,496.21,4762.0,NA,NA,0.05,NA,NA,NA,NA,0,0,0,NA
9,high,1,4,11394.2255,NA,NA,513.0009983,398.8927254,277.3512111,250.49144,0.242646374,0.284639532,0.28760468,23403,19433,5678,1732,1368529.92,5749436.087,22580329.37,382471599.4,63.0,63.0,63.0,62.8861122,64.66159269,79.33048254,92.48185052,99.20702125,951.098288,2430.2,951.098288,2310.11,NA,NA,0.75,NA,NA,NA,NA,0,1,1,NA
10,moderate,1,4,11607.43175,NA,NA,447.6488806,422.3468815,450.0623457,472.463289,0.359216359,0.360610508,0.3587761,100871,17186,3759,627,1056113.667,4152530.35,30829685.13,237844516.1,NA,62.9402962,62.9418182,62.914753,105.683126,108.5661099,111.3992732,107.6291538,654.0811161,1278.42,654.0811161,565.54,NA,NA,0.2,NA,NA,NA,NA,0,0,0,NA
11,open,NA,4,280800.0,NA,NA,404.161412,463.5631194,440.1159504,454.99640900000003,0.386153931,0.392961838,0.4785556,32686,12214,3808,837,612409.7844,4738726.006,27608706.28,158446298.7,62.8333282,62.8121376,62.8342781,62.8139725,70.04180103,87.72625161,106.265906,113.7343154,4448.079849,362.63,362.63,4472.99,NA,NA,0.15,NA,NA,NA,NA,0,0,0,NA
12,open,NA,NA,54309.45389,NA,NA,404.7979649,376.0757518,403.2542406,397.5109929,0.395283333,0.398505011,0.422447365,154467,44915,13522,3728,611955.3369,2595682.742,16315779.31,242683135.3,62.8642006,NA,NA,NA,83.40000322,75.88830097,86.87042699,103.3589436,6767.811785,802.7281319,802.7281319,1524.49,NA,NA,0.05,NA,NA,NA,NA,0,1,1,NA
13,open,1,4,21393.40353,NA,NA,395.080266,344.3767682,332.817448,314.747967,0.353508973,0.339542129,0.3318381,11533,6139,2304,572,614533.5441,2665431.913,27777546.6,260676879.0,62.7530861,62.8389282,62.7802162,61.6791954,89.25845983,94.67118576,93.93789946,101.6876726,5066.194109,1046.99,1046.99,1283.44,NA,NA,0.1,NA,NA,NA,NA,0,0,0,NA
14,open,NA,4,182900.0,NA,NA,403.2657623,364.5936505,333.7628378,357.817549,0.312934645,0.331973017,0.3611672,8840,1741,858,244,780249.0567,5081181.22,21239235.46,241099154.7,62.9397545,62.8378448,62.7884407,56.9314423,82.85125379,79.17548531,89.90814597,102.9397123,4155.339056,1141.58,1141.58,2392.54,NA,NA,0.02,NA,NA,NA,NA,0,0,0,NA
16,open,NA,4,65096.21624,NA,NA,449.188058,498.7230859,443.971037,419.079428,0.409824454,0.404393872,0.3814115,25011,2324,520,116,732281.3583,3056854.466,72715267.17,210648503.1,55.2151909,51.6768188,55.2814484,25.4722843,121.0590404,104.223712,113.92152660000001,109.5524605,3963.485963,876.35,876.35,2039.4,NA,NA,0.1,NA,NA,NA,NA,0,0,0,NA
18,moderate,1,1,17944.82988,NA,NA,310.8984659,304.6634291,347.4070813,343.15039,0.328860333,0.323074164,0.3367788,126753,35348,9944,3066,1035942.268,6050840.438,37905627.78,330066176.4,62.6428566,62.6563034,62.739357,62.8474998,98.76229906,111.0662648,113.6251944,107.1386903,856.9894865,1302.57,856.9894865,2065.83,NA,NA,0.75,NA,NA,NA,NA,1,4,5,NA
19,high,1,1,36981.41534,NA,NA,262.7802917,256.8066836,246.4397428,193.534483,0.216275006,0.201731639,0.2888434,323533,68475,18129,5398,6665905.017,42808974.55,129260417.4,701650393.5,63.0,62.9941177,62.9701881,62.9119949,59.17482233,64.04642825,71.88749774,85.35346798,1857.289513,440.36,440.36,2261.26,NA,NA,1.0,NA,NA,NA,NA,3,2,5,NA
20,moderate,1,4,48803.91329,NA,NA,312.1624403,438.0792531,355.2013534,344.938155,0.298272607,0.326390245,0.3445509,85755,11492,2619,590,754019.0622,3873752.411,16220461.19,119682489.9,62.5999985,62.4334106,62.4763222,62.1540451,118.6480738,137.9071462,130.4646238,119.2186471,2117.023026,1207.85,1207.85,980.21,NA,NA,0.35,NA,NA,NA,NA,0,0,0,NA
22,open,1,4,22703.91,NA,NA,254.9617745,287.4762986,400.2067818,343.832003,0.334921055,0.289090864,0.300644,160815,13498,1785,340,936979.5715,4232514.767,16484665.2,256296220.6,61.7073212,61.7291145,61.7740669,61.8154678,153.0674702,146.9233276,127.3044619,109.1871882,773.0085391,1046.21,773.0085391,2006.17,NA,NA,0.02,NA,NA,NA,NA,0,0,0,NA
25,high,NA,1,11769.17676,NA,NA,257.5138589,281.4672953,280.949637,280.089959,0.412385975,0.418286671,0.436767473,341302,74966,28393,15118,764357.165,5049904.173,57166316.91,271408485.5,61.4102554,61.5450859,61.4553299,60.763813,95.86332716,99.30493428,99.52929933,107.8570006,2222.966079,337.36,337.36,420.22,NA,NA,0.75,NA,NA,NA,NA,4,4,8,NA
26,high,1,2,42430.61492,NA,NA,261.364561,265.6739658,259.4690051,243.870549,0.515453658,0.516990228,0.508214191,803750,168982,51319,12172,2083948.563,10508603.51,50789071.24,176589971.6,53.7750015,56.3225212,53.505867,53.2188683,121.3322462,140.8420437,156.7707046,121.1015617,193.0063159,641.09,193.0063159,154.76,NA,NA,0.95,NA,NA,NA,NA,0,0,0,NA
27,open,2,4,15446.9395,NA,NA,266.1424183,262.652415,254.9345676,270.394799,0.451237881,0.428322234,0.53804476,337418,83176,5284,1114,1676155.791,5530501.384,80715553.77,177041123.4,59.7160492,59.9828148,58.8435936,48.7064934,105.0552294,103.6802601,105.0150265,106.3447728,1263.618859,1462.65,1263.618859,457.29,NA,NA,0.06,NA,NA,NA,NA,0,0,0,NA
28,open,1,4,121800.0,NA,NA,255.3175778,292.7801243,258.0245623,247.148974,0.474618794,0.383957869,0.486927391,13726,5538,1509,330,766595.5293,2893976.741,50186371.73,176396257.6,55.0843391,50.6540222,54.3827057,36.8328133,89.00422677,94.82977562,99.32290865,102.2608651,2383.018454,627.15,627.15,168.12,NA,NA,0.02,NA,NA,NA,NA,2,1,3,NA
30,moderate,1,1,86321.85723,NA,NA,251.7611309,255.5306862,261.4483129,261.78657,0.50842206,0.503305646,0.552557713,82679,98617,25494,4267,834957.5553,3664066.304,16528855.77,212054649.1,58.7922134,60.1457176,58.3684425,60.9140968,102.6133563,101.6912797,112.7270662,111.4582414,374.4607935,117.88,117.88,172.49,NA,NA,0.65,NA,NA,NA,NA,0,0,0,NA
31,high,NA,2,140600.0,NA,NA,248.9217895,341.7718255,401.9547087,201.903463,0.609286873,0.608762948,0.542245437,950297,124336,27023,8778,776159.042,3010623.21,12297535.21,82452005.22,NA,15.6518402,17.7925854,17.4547253,180.0442313,229.0345457,240.0287389,185.6222403,3286.124313,221.52,221.52,198.88,NA,NA,0.98,NA,NA,NA,NA,0,0,0,NA
32,moderate,2,1,27603.44625,NA,NA,243.0668502,274.6313099,255.0814612,322.109965,0.392331174,0.362838204,0.370698513,466502,95399,19560,4107,1240839.396,5663733.013,26087998.8,216663748.2,62.7228889,62.6622772,62.5043945,62.5339813,105.0140288,128.1339083,128.9265454,113.1872595,1498.441882,1416.55,1416.55,1449.5,NA,NA,0.55,NA,NA,NA,NA,0,0,0,NA
33,high,NA,1,353700.0,NA,NA,284.9749703,280.0747624,304.5462443,424.289844,0.297136258,0.355527598,0.624751638,134771,85668,33689,9032,7999169.218,38938418.29,190025956.1,608444584.1,63.0,63.0,63.0,62.8802872,94.49300813,81.33015013,76.50233742,81.28648703,975.834388,619.84,619.84,1191.32,NA,NA,1.0,NA,NA,NA,NA,3,1,4,NA
34,moderate,NA,1,53979.77439,NA,NA,229.6252789,214.4338838,217.5395418,217.642516,0.412771335,0.416119393,0.452329851,348857,98867,25197,5992,1161585.611,3923543.902,18113221.54,316469836.9,62.6551743,62.7007484,62.6323204,62.5630302,106.0267017,119.654185,116.2422334,111.3930236,5128.656734,2996.68,2996.68,2068.37,NA,NA,0.68,NA,NA,NA,NA,0,0,0,NA
35,moderate,NA,NA,54309.45389,NA,NA,255.2752027,376.0757518,403.2542406,397.5109929,0.395283333,0.398505011,0.422447365,154467,9290,9861,3728,15324276.92,19547147.37,36158321.97,174909296.2,62.1818199,62.1753273,62.2727051,NA,83.01701621,96.7836925,103.7368049,109.0774733,6767.811785,802.7281319,802.7281319,310.9,NA,NA,1.0,NA,NA,NA,NA,0,0,0,NA
36,high,NA,2,2291.14814,NA,NA,254.2422629,243.8018844,230.2306316,185.219113,0.492405086,0.478831071,0.514880823,976036,103366,32824,11984,816041.3701,3269920.608,13262871.46,117280206.9,47.296299,40.5009804,39.9821968,42.6659622,108.7402838,111.6333232,104.7317055,115.3971719,4385.754525,348.17,348.17,1090.91,NA,NA,0.89,NA,NA,NA,NA,0,1,1,NA
37,high,NA,2,20004.69043,NA,NA,287.6418195,284.0421377,273.4484976,328.527582,0.555527807,0.552562235,0.537505566,294917,226160,69286,15388,863198.1358,5799534.994,21794667.28,136442909.5,30.7820511,31.0518818,32.07658,38.1641693,204.4869983,207.6491047,182.8254725,144.4811722,1690.278137,752.76,752.76,752.55,NA,NA,1.0,NA,NA,NA,NA,0,2,2,NA
38,high,1,1,25986.62744,NA,NA,347.3099759,442.8104278,476.2448425,499.773131,0.446980277,0.451302735,0.43790163,490837,86018,22340,9541,777725.6268,3055379.884,12057938.07,236727821.0,62.0493813,61.9475594,61.9393501,61.8897362,83.59419396,107.6776145,111.8132,106.303954,10311.46987,1200.22,1200.22,415.4,NA,NA,0.85,NA,NA,NA,NA,0,2,2,NA
39,moderate,1,1,79299.30966,NA,NA,303.4611042,417.6737469,337.165565,331.00136,0.415898432,0.446041721,0.519027106,149559,77979,18460,6444,2248162.141,6025097.849,23967464.02,132203051.2,61.5875015,61.4833984,61.0461273,60.204052,127.1264693,110.7106399,115.7165702,106.2052767,8762.512762,803.73,803.73,3097.44,NA,NA,0.65,NA,NA,NA,NA,1,0,1,NA
40,high,NA,2,94199.99621,NA,NA,247.3748619,208.1256931,239.8980193,301.303922,0.530705397,0.528653629,0.614329723,965886,170332,50164,10614,875681.7502,3283202.177,12565584.85,89837346.76,NA,50.9506187,50.8385086,44.094368,110.3512951,127.4517036,137.1570303,131.0473363,8503.84927,717.04,717.04,947.34,NA,NA,0.85,NA,NA,NA,NA,1,2,3,NA
41,high,1,2,6420.48118,NA,NA,252.9194401,235.7741491,232.1200716,188.8617,0.525270684,0.570958687,0.537821319,573565,212266,66185,13013,792106.8281,3028795.186,11976582.88,85264974.16,36.7750015,41.3909798,37.1898308,16.4279881,140.6998431,154.6207639,169.6558079,151.5748657,10548.72274,649.61,649.61,539.65,NA,NA,0.95,NA,NA,NA,NA,0,4,4,NA
43,moderate,NA,1,11857.23738,NA,NA,335.1435342,326.8126335,347.0851912,382.946772,0.220469674,0.297439538,0.365038353,188174,61787,18160,5038,4069164.636,12557674.54,28871092.55,143451181.0,60.0,61.0750198,61.3260956,61.5111237,123.6437746,110.4690746,106.4421699,111.3776923,8321.275589,2159.8,2159.8,2220.4,NA,NA,0.6,NA,NA,NA,NA,0,0,0,NA
44,moderate,1,3,13688.36608,NA,NA,431.50665299999997,420.9693104,395.3914413,414.094545,0.358015527,0.360351006,0.343265835,21725,11273,1779,252,1097127.732,3178902.437,17194806.01,179834650.3,59.6235237,NA,NA,54.748703,90.0535061,92.46329779,100.803629,113.6189307,824.7731516,1267.69,824.7731516,931.7,NA,NA,0.75,NA,NA,NA,NA,0,0,0,NA
45,open,NA,NA,54309.45389,NA,NA,349.2416893,376.0757518,403.2542406,397.5109929,0.395283333,0.398505011,0.422447365,154467,44915,13522,3728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6767.811785,802.7281319,802.7281319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
